categoria_1,categoria_2,categoria_3,key1,value1,key2,value2,key3,value3,key4,value4,key5,value5
Justícia,Oficines del Servei d'Orientació Jurídica,,office,government,,,,,,,,
Justícia,Serveis d'orientació mediadora (SOM),,office,government,,,,,,,,
Llengua. Comunicació,Centres de normalització lingüística,,office,government,,,,,,,,
Llengua. Comunicació,Oficines de català,,office,government,,,,,,,,
Medi ambient,Deixalleries,,landuse,landfill,,,,,,,,
Medi ambient,Espais naturals,,boundary,protected_area,leisure,natural_reserve,,,,,,
Medi ambient,Parcs naturals,,boundary,protected_area,leisure,natural_reserve,,,,,,
Mobilitat. Transports,"Aeroports, aeròdroms i heliports",,aeroway,aerodrome,aeroway,heliport,,,,,,
Mobilitat. Transports,Estacions d'autobusos,,amenity,bus_station,highway,bus_stop,public_transport,station,,,,
Mobilitat. Transports,Ports,,landuse,harbour,landuse,port,industrial,port,,,,
Recerca,Centres de recerca,Centres CERCA,amenity,research_institute,,,,,,,,
Recerca,Centres de recerca,Centres CSIC,amenity,research_institute,,,,,,,,
Recerca,Centres de recerca,Centres IRTA,amenity,research_institute,,,,,,,,
Recerca,Estructures universitàries,Instituts universitaris de recerca,amenity,research_institute,amenity,university,,,,,,
Recerca,Estructures universitàries,Universitats,amenity,university,amenity,research_institute,,,,,,
Recerca,Grans infraestructures de suport a la recerca,,amenity,research_institute,,,,,,,,
Recerca,Institucions hospitalàries,,amenity,hospital,amenity,research_institute,,,,,,
Recerca,Parcs científics i tecnològics,,landuse,science_centre,,,,,,,,
Salut,Centres sanitaris,1. Centres d'atenció primària (CAP),amenity,clinic,amenity,doctors,healthcare,clinic,,,,
Salut,Centres sanitaris,2. Centres amb atenció continuada,amenity,clinic,healthcare:speciality,emergency,,,,,,
Salut,Centres sanitaris,3. Hospitals,amenity,hospital,healthcare,hospital,,,,,,
Salut,Centres sanitaris,4. Centres sociosanitaris,amenity,clinic,amenity,hospital,,,,,,
Salut,Centres sanitaris,5. Centres de salut mental,amenity,hospital,amenity,clinic,healthcare:speciality,psychiatry,healthcare,hospital,healthcare,clinic
Salut,Centres sanitaris,6. Centres d'atenció i seguiment a les drogodependències,healthcare,clinic,amenity,clinic,healthcare:counselling,addiction,,,,
Salut,Centres sanitaris,7. Centres amb intercanvi de xeringues,healthcare,clinic,amenity,clinic,healthcare:counselling,addiction,,,,
Salut,Farmàcies,,amenity,pharmacy,,,,,,,,
Serveis socials bàsics,Servei bàsic d'atenció social,,,,,,,,,,,
Serveis socials bàsics,Servei d'ajuda a domicili,,,,,,,,,,,
Serveis socials bàsics,Servei d'assessorament tècnic d'atenció social,,,,,,,,,,,
Serveis socials bàsics,Servei de les tecnologies de suport i cura,,,,,,,,,,,
Serveis socials bàsics,Servei de menjador social,,,,,,,,,,,
Serveis socials bàsics,Servei de suport als serveis socials bàsics,,,,,,,,,,,
Serveis socials bàsics,Servei de suport als serveis socials bàsics (Distribució d'aliments),,,,,,,,,,,
Serveis socials bàsics,Servei de suport als serveis socials bàsics (Maternoinfantil),,,,,,,,,,,
Serveis socials especialitzats,Altres prestacions de serveis: serveis experimentals,Servei experimental,,,,,,,,,,
Serveis socials especialitzats,Altres prestacions de serveis: serveis experimentals,Servei experimental (Servei de centre d'acollida diürna),,,,,,,,,,
Serveis socials especialitzats,Altres prestacions de serveis: serveis experimentals,Servei experimental (Tutela discapacitats físics-diversa),,,,,,,,,,
Serveis socials especialitzats,Serveis adreçats a famílies amb problemàtica social i risc d'exclusió social,Servei d'atenció a les famílies (amb problemàtica social de risc d'exclusió social),,,,,,,,,,
Serveis socials especialitzats,"Serveis adreçats a infància, adolescència, joventut",Servei de suport a l'adopció internacional,,,,,,,,,,
Serveis socials especialitzats,Serveis adreçats a persones afectades pel virus VIH/SIDA,Servei de prevenció per a persones afectades pel virus VIH/SIDA,,,,,,,,,,
Serveis socials especialitzats,Serveis adreçats a persones afectades pel virus VIH/SIDA,Servei temporal de llar amb suport per a persones afectades pel virus VIH/SIDA (baixa/alta intensitat),,,,,,,,,,
Serveis socials especialitzats,Serveis adreçats a persones afectades pel virus VIH/SIDA,Servei temporal de llar residència per a persones afectades pel virus VIH/SIDA,,,,,,,,,,
Serveis socials especialitzats,Serveis adreçats a persones amb dependència,Servei de centre per a l'autonomia personal,,,,,,,,,,
Serveis socials especialitzats,Serveis adreçats a persones amb dependència,Servei de prevenció de les situacions de dependència,,,,,,,,,,
Serveis socials especialitzats,Serveis adreçats a persones amb dependència,Servei de transport adaptat,,,,,,,,,,
Serveis socials especialitzats,Serveis adreçats a persones amb dependència,Servei de valoració a la dependència,,,,,,,,,,
Serveis socials especialitzats,Serveis adreçats a persones amb discapacitat física,"Servei d'assistència personal de suport a la vida autònoma i d'integració social i comunitària, per a persones amb discapacitat física",,,,,,,,,,
Serveis socials especialitzats,Serveis adreçats a persones amb discapacitat física,"Servei d'assistència personal de suport en l'acompanyament a activitats laborals, ocupacionals i/o formatives, per a persones amb discapacitat física",,,,,,,,,,
Serveis socials especialitzats,Serveis adreçats a persones amb discapacitat física,Servei de centre de dia d'atenció especialitzada temporal o permanent per a persones amb discapacitat física,,,,,,,,,,
Serveis socials especialitzats,Serveis adreçats a persones amb discapacitat física,Servei de centre de dia de teràpia ocupacional (STO) per a persones amb discapacitat física,,,,,,,,,,
Serveis socials especialitzats,Serveis adreçats a persones amb discapacitat física,Servei de centre de dia ocupacional d'inserció (SOI) per a persones amb discapacitat física,,,,,,,,,,
Serveis socials especialitzats,Serveis adreçats a persones amb discapacitat física,Servei de centre residencial temporal o permanent per a persones amb discapacitat física,,,,,,,,,,
Serveis socials especialitzats,Serveis adreçats a persones amb discapacitat física,Servei de llar residència temporal o permanent per a persones amb discapacitat física,,,,,,,,,,
Serveis socials especialitzats,Serveis adreçats a persones amb discapacitat física,Servei de suport a l'autonomia a la pròpia llar per a persones amb discapacitat física,,,,,,,,,,
Serveis socials especialitzats,Serveis adreçats a persones amb discapacitat intel·lectual,Servei de centre de dia d'atenció especialitzada temporal o permanent per a persones amb discapacitat intel·lectual,,,,,,,,,,
Serveis socials especialitzats,Serveis adreçats a persones amb discapacitat intel·lectual,Servei de centre de dia de teràpia ocupacional per a persones amb discapacitat intel·lectual (STO),,,,,,,,,,
